Date,USD,JPY,BGN,CYP,CZK,DKK,EEK,GBP,HUF,LTL,LVL,MTL,PLN,ROL,RON,SEK,SIT,SKK,CHF,ISK,NOK,HRK,RUB,TRL,TRY,AUD,BRL,CAD,CNY,HKD,IDR,INR,KRW,MXN,MYR,NZD,PHP,SGD,THB,ZAR,ILS,
2016-04-22,1.1263,124.86,1.9558,N/A,27.046,7.4413,N/A,0.78335,310.1,N/A,N/A,N/A,4.3506,N/A,4.4753,9.1381,N/A,N/A,1.0991,N/A,9.2443,7.49,74.2513,N/A,3.1886,1.457,4.0218,1.4342,7.3159,8.7368,14871.07,74.9425,1287.41,19.6823,4.3943,1.6364,52.658,1.5211,39.432,16.1846,4.2401,
2016-04-21,1.1355,124.5,1.9558,N/A,27.024,7.4411,N/A,0.78693,310.7,N/A,N/A,N/A,4.3085,N/A,4.4815,9.1845,N/A,N/A,1.0989,N/A,9.2015,7.487,73.8545,N/A,3.1962,1.4496,4.0043,1.4346,7.3525,8.8088,14903.44,75.2595,1286.36,19.6232,4.4105,1.6262,52.822,1.5252,39.743,16.0999,4.2705,
2016-04-20,1.1379,124.2,1.9558,N/A,27.021,7.443,N/A,0.791,309.05,N/A,N/A,N/A,4.2875,N/A,4.4827,9.1643,N/A,N/A,1.0939,N/A,9.2336,7.5023,74.6465,N/A,3.2011,1.4556,4.0362,1.4421,7.3578,8.8272,14973.62,75.327,1285.04,19.706,4.395,1.6231,52.626,1.5246,39.656,16.1623,4.2766,
2016-04-19,1.1343,124.1,1.9558,N/A,27.021,7.4423,N/A,0.78975,310.51,N/A,N/A,N/A,4.3027,N/A,4.4813,9.1773,N/A,N/A,1.0922,N/A,9.2578,7.5005,74.4242,N/A,3.2136,1.4547,4.0408,1.4418,7.3372,8.7971,14858.2,75.4905,1277.28,19.5947,4.37,1.6127,52.29,1.5197,39.587,16.2034,4.2746,
2016-04-18,1.1306,122.32,1.9558,N/A,27.022,7.4417,N/A,0.7978,310.33,N/A,N/A,N/A,4.3059,N/A,4.4749,9.1948,N/A,N/A,1.0916,N/A,9.3325,7.505,76.7591,N/A,3.2251,1.4685,3.9606,1.4612,7.3241,8.7688,14890.95,75.274,1299.62,19.9043,4.4404,1.6303,52.253,1.5328,39.605,16.5061,4.2702,
2016-04-15,1.1284,122.91,1.9558,N/A,27.025,7.4414,N/A,0.79575,310.54,N/A,N/A,N/A,4.2967,N/A,4.4728,9.1902,N/A,N/A,1.0919,N/A,9.3044,7.5005,75.0125,N/A,3.2212,1.4648,3.9387,1.4535,7.3072,8.7527,14862.67,75.1425,1295.12,19.7927,4.4085,1.6334,52.051,1.533,39.584,16.4424,4.2675,
2016-04-14,1.1252,123.09,1.9558,N/A,27.028,7.4415,N/A,0.7956,311.25,N/A,N/A,N/A,4.2992,N/A,4.4728,9.158,N/A,N/A,1.0878,N/A,9.264,7.4822,74.2429,N/A,3.2203,1.461,3.9586,1.4434,7.297,8.7283,14844.32,74.8648,1298.53,19.6655,4.3737,1.6395,51.982,1.5346,39.506,16.3938,4.2642,
2016-04-13,1.1298,123.47,1.9558,N/A,27.036,7.4429,N/A,0.79388,310.73,N/A,N/A,N/A,4.2869,N/A,4.47,9.176,N/A,N/A,1.0887,N/A,9.3113,7.466,74.2708,N/A,3.2259,1.4768,3.969,1.4466,7.3172,8.7637,14867.17,75.249,1298.14,19.8238,4.3852,1.6337,52.065,1.5265,39.611,16.6342,4.2697,
2016-04-12,1.1396,123.44,1.9558,N/A,27.03,7.4434,N/A,0.7984,311.38,N/A,N/A,N/A,4.2923,N/A,4.4708,9.2138,N/A,N/A,1.0874,N/A,9.3515,7.489,75.6167,N/A,3.2274,1.4882,4.0034,1.4674,7.3632,8.8371,14917.84,75.668,1302.88,20.0248,4.4273,1.654,52.517,1.5354,39.943,16.7396,4.2923,
2016-04-11,1.139,123.28,1.9558,N/A,27.026,7.4424,N/A,0.8006,312.07,N/A,N/A,N/A,4.2793,N/A,4.4675,9.2815,N/A,N/A,1.0877,N/A,9.3809,7.4875,76.0574,N/A,3.224,1.506,4.0647,1.4794,7.3709,8.8321,14956,75.7055,1306.55,20.1924,4.4307,1.6669,52.552,1.5341,39.956,16.7955,4.3075,
2016-04-08,1.1363,123.36,1.9558,N/A,27.022,7.4419,N/A,0.8073,312.67,N/A,N/A,N/A,4.2953,N/A,4.4685,9.2928,N/A,N/A,1.0874,N/A,9.4183,7.496,76.5414,N/A,3.2415,1.5091,4.1554,1.4861,7.357,8.8166,14936.66,75.677,1310.43,20.2108,4.4433,1.6757,52.469,1.5335,39.884,17.1222,4.3006,
2016-04-07,1.1364,123.15,1.9558,N/A,27.025,7.4417,N/A,0.80728,312.28,N/A,N/A,N/A,4.2833,N/A,4.4659,9.2575,N/A,N/A,1.0884,N/A,9.4546,7.5105,77.3719,N/A,3.2421,1.5092,4.1617,1.4906,7.3535,8.8169,14955.02,75.7135,1318.1,20.1779,4.4705,1.6731,52.579,1.5369,40.024,17.317,4.3087,
2016-04-06,1.1336,125.13,1.9558,N/A,27.029,7.4412,N/A,0.80808,312.33,N/A,N/A,N/A,4.2636,N/A,4.4685,9.2628,N/A,N/A,1.0887,N/A,9.476,7.51,77.8058,N/A,3.2343,1.5029,4.2,1.4912,7.355,8.7927,15025.07,75.578,1318.35,20.1485,4.466,1.6705,52.456,1.5373,40.01,17.2805,4.3296,
2016-04-05,1.1367,125.81,1.9558,N/A,27.036,7.4421,N/A,0.8016,312.62,N/A,N/A,N/A,4.2448,N/A,4.466,9.256,N/A,N/A,1.0892,N/A,9.4995,7.511,78.4507,N/A,3.2165,1.5085,4.1395,1.4968,7.3595,8.8164,15035.79,75.5435,1317.17,19.9963,4.4635,1.678,52.593,1.543,40.103,17.0187,4.323,
2016-04-04,1.138,126.97,1.9558,N/A,27.046,7.4459,N/A,0.79738,312.29,N/A,N/A,N/A,4.234,N/A,4.4648,9.2493,N/A,N/A,1.0919,N/A,9.4359,7.5115,77.1535,N/A,3.1952,1.4917,4.042,1.4832,7.3696,8.8254,14961.75,75.2275,1308.19,19.7227,4.4317,1.6605,52.562,1.5373,40.08,16.68,4.3079,
2016-04-01,1.1432,128.07,1.9558,N/A,27.03,7.4503,N/A,0.7989,313.3,N/A,N/A,N/A,4.244,N/A,4.4693,9.2413,N/A,N/A,1.0946,N/A,9.4401,7.5105,77.543,N/A,3.2285,1.4884,4.1296,1.4894,7.3903,8.8652,15007.54,75.8528,1315.78,19.8996,4.4382,1.6518,52.615,1.5389,40.115,16.8758,4.3182,
2016-03-31,1.1385,127.9,1.9558,N/A,27.051,7.4512,N/A,0.79155,314.12,N/A,N/A,N/A,4.2576,N/A,4.4718,9.2253,N/A,N/A,1.0931,N/A,9.4145,7.5255,76.3051,N/A,3.2118,1.4807,4.1174,1.4738,7.3514,8.8282,15024.84,75.4298,1294.88,19.5903,4.4078,1.6411,52.284,1.5304,40.018,16.7866,4.295,
2016-03-30,1.1324,127.37,1.9558,N/A,27.075,7.4531,N/A,0.7858,314.29,N/A,N/A,N/A,4.2538,N/A,4.4623,9.242,N/A,N/A,1.0913,N/A,9.43,7.5168,76.7842,N/A,3.214,1.4766,4.1275,1.4755,7.3366,8.781,15004.12,75.176,1293.67,19.5281,4.4502,1.6356,52.056,1.5311,39.894,16.9129,4.2899,
2016-03-29,1.1194,127.13,1.9558,N/A,27.073,7.4549,N/A,0.7845,314.18,N/A,N/A,N/A,4.2498,N/A,4.4645,9.269,N/A,N/A,1.0915,N/A,9.4839,7.5255,76.7345,N/A,3.2109,1.4901,4.0795,1.4741,7.2873,8.6835,14957.16,74.4743,1306.67,19.5809,4.4712,1.6597,51.869,1.5311,39.672,17.3156,4.2886,
2016-03-24,1.1154,125.41,1.9558,N/A,27.064,7.4546,N/A,0.78938,314.24,N/A,N/A,N/A,4.2788,N/A,4.4669,9.2688,N/A,N/A,1.0875,N/A,9.494,7.5358,77.7413,N/A,3.211,1.4858,4.1316,1.4821,7.2662,8.6548,14781.84,74.579,1302.21,19.7076,4.4956,1.6645,51.766,1.5268,39.407,17.2854,4.2753,
