"Date";"Mean daily saugeen River flows, Jan 01, 1915 to Dec 31, 1979"
"1979-04-08";190.0
"1979-04-09";233.0
"1979-04-10";291.0
"1979-04-11";263.0
"1979-04-12";155.0
"1979-04-13";104.0
"1979-04-14";95.2
"1979-04-15";121.0
"1979-04-16";196.0
"1979-04-17";213.0
"1979-04-18";158.0
"1979-04-19";141.0
"1979-04-20";121.0
"1979-04-21";99.3
"1979-04-22";83.8
"1979-04-23";60.7
"1979-04-24";67.6
"1979-04-25";68.2
"1979-04-26";66.6
"1979-04-27";69.4
"1979-04-28";75.8
"1979-04-29";98.8
"1979-04-30";306.0
"1979-05-01";425.0
"1979-05-02";312.0
"1979-05-03";190.0
"1979-05-04";130.0
"1979-05-05";101.0
"1979-05-06";83.5
"1979-05-07";72.8
"1979-05-08";68.6
"1979-05-09";64.2
"1979-05-10";58.4
"1979-05-11";53.6
"1979-05-12";52.7
"1979-05-13";71.9
"1979-05-14";70.1
"1979-05-15";62.5
"1979-05-16";57.0
"1979-05-17";58.5
"1979-05-18";55.7
"1979-05-19";53.7
"1979-05-20";58.9
"1979-05-21";57.4
"1979-05-22";57.0
"1979-05-23";67.3
"1979-05-24";67.1
"1979-05-25";56.2
"1979-05-26";46.7
"1979-05-27";49.1
"1979-05-28";44.2
"1979-05-29";46.5
"1979-05-30";44.7
"1979-05-31";40.9
"1979-06-01";43.9
"1979-06-02";40.0
"1979-06-03";36.6
"1979-06-04";32.7
"1979-06-05";30.1
"1979-06-06";29.1
"1979-06-07";29.0
"1979-06-08";27.1
"1979-06-09";25.1
"1979-06-10";23.8
"1979-06-11";25.7
"1979-06-12";26.3
"1979-06-13";25.7
"1979-06-14";25.6
"1979-06-15";29.4
"1979-06-16";29.2
"1979-06-17";26.0
"1979-06-18";23.3
"1979-06-19";21.6
"1979-06-20";20.1
"1979-06-21";18.8
"1979-06-22";18.4
"1979-06-23";17.7
"1979-06-24";17.9
"1979-06-25";18.2
"1979-06-26";18.2
"1979-06-27";20.1
"1979-06-28";21.1
"1979-06-29";19.3
"1979-06-30";17.9
"1979-07-01";16.6
"1979-07-02";15.4
"1979-07-03";14.6
"1979-07-04";13.9
"1979-07-05";13.4
"1979-07-06";12.4
"1979-07-07";11.6
"1979-07-08";12.9
"1979-07-09";13.6
"1979-07-10";13.5
"1979-07-11";13.0
"1979-07-12";12.1
"1979-07-13";11.9
"1979-07-14";11.7
"1979-07-15";12.6
"1979-07-16";15.7
"1979-07-17";17.5
"1979-07-18";16.1
"1979-07-19";15.0
"1979-07-20";13.5
"1979-07-21";12.4
"1979-07-22";11.4
"1979-07-23";10.9
"1979-07-24";10.6
"1979-07-25";10.7
"1979-07-26";11.3
"1979-07-27";11.3
"1979-07-28";11.0
"1979-07-29";10.5
"1979-07-30";9.9
"1979-07-31";9.5
"1979-08-01";9.6
"1979-08-02";8.9
"1979-08-03";8.8
"1979-08-04";8.6
"1979-08-05";8.5
"1979-08-06";8.3
"1979-08-07";8.1
"1979-08-08";8.2
"1979-08-09";8.4
"1979-08-10";8.8
"1979-08-11";11.9
"1979-08-12";11.8
"1979-08-13";10.7
"1979-08-14";9.9
"1979-08-15";9.2
"1979-08-16";8.9
"1979-08-17";9.0
"1979-08-18";11.8
"1979-08-19";15.3
"1979-08-20";12.7
"1979-08-21";11.2
"1979-08-22";10.3
"1979-08-23";9.7
"1979-08-24";12.1
"1979-08-25";12.7
"1979-08-26";20.2
"1979-08-27";24.4
"1979-08-28";20.1
"1979-08-29";16.4
"1979-08-30";14.2
"1979-08-31";13.0
"1979-09-01";12.0
"1979-09-02";11.1
"1979-09-03";11.0
"1979-09-04";11.4
"1979-09-05";10.8
"1979-09-06";10.0
"1979-09-07";9.3
"1979-09-08";11.1
"1979-09-09";13.9
"1979-09-10";16.1
"1979-09-11";13.5
"1979-09-12";12.9
"1979-09-13";11.5
"1979-09-14";10.8
"1979-09-15";10.4
"1979-09-16";9.8
"1979-09-17";9.0
"1979-09-18";9.0
"1979-09-19";9.7
"1979-09-20";10.2
"1979-09-21";10.0
"1979-09-22";9.6
"1979-09-23";9.6
"1979-09-24";9.2
"1979-09-25";8.9
"1979-09-26";9.2
"1979-09-27";10.3
"1979-09-28";10.8
"1979-09-29";9.6
"1979-09-30";12.7
"1979-10-01";19.0
"1979-10-02";19.0
"1979-10-03";16.0
"1979-10-04";13.4
"1979-10-05";11.5
"1979-10-06";10.4
"1979-10-07";9.7
"1979-10-08";9.3
"1979-10-09";8.8
"1979-10-10";8.6
"1979-10-11";8.4
"1979-10-12";8.1
"1979-10-13";8.1
"1979-10-14";7.8
"1979-10-15";7.9
"1979-10-16";7.6
"1979-10-17";7.8
"1979-10-18";8.1
"1979-11-07";57.0
"1979-11-08";44.8
"1979-11-09";34.4
"1979-11-10";29.2
"1979-11-11";25.5
"1979-11-12";22.5
"1979-11-13";23.2
"1979-11-14";26.3
"1979-11-15";26.9
"1979-11-16";24.8
"1979-11-17";23.5
"1979-11-18";29.6
"1979-11-19";36.7
"1979-11-20";34.9
"1979-11-21";30.3
"1979-11-22";25.9
"1979-11-23";24.8
"1979-11-24";24.9
"1979-11-25";25.0
"1979-11-26";27.9
"1979-11-27";30.1
"1979-11-28";29.3
"1979-11-29";26.1
