"Date","Various bitcoin currency statistics"
"2014-01-03",806.21
"2014-01-04",822.38
"2014-01-05",896
"2014-01-06",934.21
"2014-01-07",867.38
"2014-01-08",825.29
"2014-01-09",809.17
"2014-01-10",827.46
"2014-01-11",891.85
"2014-01-12",851
"2014-01-13",807.83
"2014-01-14",820.75
"2014-01-15",847.7
"2014-01-16",830.9
"2014-01-17",793
"2014-01-18",801.53
"2014-01-19",833
"2014-01-20",831.72
"2014-01-21",822.56
"2014-01-22",813.05
"2014-01-23",813.02
"2014-01-24",789.1
"2014-01-25",806
"2014-01-26",826.77
"2014-01-27",777
"2014-01-28",800.2
"2014-01-29",803.6
"2014-01-30",799.37
"2014-01-31",802.5
"2014-02-01",815.99
"2014-02-02",819.57
"2014-02-03",813.8
"2014-02-04",809.05
"2014-02-05",800
"2014-02-06",778
"2014-02-07",742.78
"2014-02-08",707
"2014-02-09",710
"2014-02-10",665
"2014-02-11",670
"2014-02-12",667.01
"2014-02-13",633.99
"2014-02-14",672.1
"2014-02-15",651.42
"2014-02-16",623.5
"2014-02-17",642
"2014-02-18",626.77
"2014-02-19",623.93
"2014-02-20",582.7
"2014-02-21",566.16
"2014-02-22",603.98
"2014-02-23",626.77
"2014-02-24",545
"2014-02-25",528
"2014-02-26",585.38
"2014-02-27",585.17
"2014-02-28",577.97
"2014-03-01",571.5
"2014-03-02",559.88
"2014-03-03",666.5
"2014-03-04",677.61
"2014-03-05",664.85
"2014-03-06",657.02
"2014-03-07",621.3
"2014-03-08",609
"2014-03-09",637.99
"2014-03-10",621.99
"2014-03-11",622.9
"2014-03-12",642.1
"2014-03-13",642.61
"2014-03-14",636.47
"2014-03-15",636.29
"2014-03-16",634.94
"2014-03-17",624.7
"2014-03-18",627
"2014-03-19",608.41
"2014-03-20",590
"2014-03-21",579.99
"2014-03-22",557
"2014-03-23",567.13
"2014-03-24",572
"2014-03-25",580.02
"2014-03-26",585.7
"2014-03-27",520.2
"2014-03-28",503
"2014-03-29",499.94
"2014-03-30",449.02
"2014-03-31",457
"2014-04-01",479.51
"2014-04-02",445
"2014-04-03",446.31
"2014-04-04",446.01
"2014-04-05",451.84
"2014-04-06",459.67
"2014-04-07",447.74
"2014-04-08",454.07
"2014-04-09",443.1
"2014-04-10",401
"2014-04-11",427.99
"2014-04-12",424.98
"2014-04-13",405
"2014-04-14",453.14
"2014-04-15",489.91
"2014-04-16",511.5
"2014-04-17",495
"2014-04-18",479.98
