"Date";"Various bitcoin currency statistics"
"2013-01-03";1346.4
"2013-01-04";1348.986
"2013-01-05";1354.8
"2013-01-06";1352.999
"2013-01-07";1353.5
"2013-01-08";1383
"2013-01-09";1387.998
"2013-01-10";1432
"2013-01-11";1429.999
"2013-01-12";1434.999
"2013-01-13";1431.48
"2013-01-14";1430
"2013-01-15";1447.899
"2013-01-16";1468.9
"2013-01-17";1539
"2013-01-18";1598.5
"2013-01-19";1584.304
"2013-01-20";1589
"2013-01-21";1698
"2013-01-22";1759
"2013-01-23";1758.89
"2013-01-24";1918.999
"2013-01-25";1883.48
"2013-01-26";1761.926
"2013-01-27";1799.999
"2013-01-28";1845
"2013-01-29";1980
"2013-01-30";1970
"2013-01-31";2143
"2013-02-01";2130
"2013-02-02";2110
"2013-02-03";2068
"2013-02-04";2105
"2013-02-05";2079
"2013-02-06";2133.39
"2013-02-07";2215
"2013-02-08";2215
"2013-02-09";2369.997
"2013-02-10";2361.458
"2013-02-11";2419.55
"2013-02-12";2576.997
"2013-02-13";2609.999
"2013-02-14";2653.092
"2013-02-15";2699.898
"2013-02-16";2707.009
"2013-02-17";2560.83
"2013-02-18";2681.565
"2013-02-19";2878.999
"2013-02-20";2981.231
"2013-02-21";2980.012
"2013-02-22";3090.1
"2013-02-23";2927.998
"2013-02-24";3029.777
"2013-02-25";3025.001
"2013-02-26";3117.9
"2013-02-27";3140.181
"2013-02-28";3350.001
"2013-03-01";3487.799
"2013-03-02";3418.08
"2013-03-03";3410.007
"2013-03-04";3635
"2013-03-05";4004
"2013-03-06";4750
"2013-03-07";4249.271
"2013-03-08";4298
"2013-03-09";4601.112
"2013-03-10";4650
"2013-03-11";4773.97
"2013-03-12";4501.771
"2013-03-13";4679.999
"2013-03-14";4727.589
"2013-03-15";4725.005
"2013-03-16";4711
"2013-03-17";4744.19
"2013-03-18";4765
"2013-03-19";5776
"2013-03-20";6340.967
"2013-03-21";7380
"2013-03-22";7150
"2013-03-23";6300
"2013-03-24";7010
"2013-03-25";7388.798
"2013-03-26";7800
"2013-03-27";8890
"2013-03-28";9356.701
"2013-03-29";8905
"2013-03-30";9099.999
"2013-03-31";9250.001
"2013-04-01";10251.001
"2013-04-02";10873
"2013-04-03";13879
"2013-04-04";13199.899
"2013-04-05";14380
"2013-04-06";14249.765
"2013-04-07";16009.97
"2013-04-08";18400
"2013-04-09";23799
"2013-04-10";19800
"2013-04-11";12340.098
"2013-04-12";7648.8
"2013-04-13";10949.999
"2013-04-14";9100
"2013-04-15";9100
"2013-04-16";9100
"2013-04-17";8559.999
"2013-04-18";9650
"2013-04-19";11962
"2013-04-20";12386
"2013-04-21";12500
"2013-04-22";12351.5
"2013-04-23";13608.099
"2013-04-24";15320.019
"2013-04-25";15112.001
"2013-04-26";13560.1
"2013-04-27";12800.001
"2013-04-28";13598.999
"2013-04-29";14150.002
"2013-04-30";13910.9
"2013-05-01";12429.98
"2013-05-02";10500.003
"2013-05-03";9315
"2013-05-04";11198.979
"2013-05-05";11789.001
"2013-05-06";12094.999
"2013-05-07";10681
