Date;Time;CO(GT);PT08.S1(CO);NMHC(GT);C6H6(GT);PT08.S2(NMHC);NOx(GT);PT08.S3(NOx);NO2(GT);PT08.S4(NO2);PT08.S5(O3);T;RH;AH
2015-01-18;23:00:00;0,2;1125;-200;4,9;758;167;820;104;1241;867;9,8;81,9;0,9923
2015-01-19;00:00:00;0,9;1197;-200;6,6;840;232;712;124;1298;974;9,5;83,8;0,9972
2015-01-19;01:00:00;1;1174;-200;6,7;842;273;723;127;1286;975;9,9;81;0,9885
2015-01-19;02:00:00;0,4;1106;-200;4,4;733;165;822;109;1208;902;9,9;79,8;0,9725
2015-01-19;03:00:00;-200;873;-200;1,5;549;-200;1106;-200;1008;791;6,9;76,4;0,7661
2015-01-19;04:00:00;-200;828;-200;1,1;506;75;1222;73;945;673;4,8;75,7;0,659
2015-01-19;05:00:00;-200;830;-200;0,9;492;53;1263;52;948;578;4,7;78,9;0,682
2015-01-19;06:00:00;-200;840;-200;1,2;515;72;1235;57;941;563;5;75;0,6627
2015-01-19;07:00:00;0,1;909;-200;2,5;622;130;1046;89;992;730;5,6;69,5;0,6362
2015-01-19;08:00:00;0,7;1098;-200;7,6;881;265;760;128;1203;974;7;64,9;0,6512
2015-01-19;09:00:00;1,2;1036;-200;7,3;868;314;732;152;1158;958;7,1;65,4;0,6644
2015-01-19;10:00:00;0,2;912;-200;3,7;692;194;923;128;1020;713;6,4;67,4;0,6537
2015-01-19;11:00:00;-200;873;-200;2,5;618;180;1036;124;994;617;5,3;75,9;0,6824
2015-01-19;12:00:00;-200;889;-200;2,7;634;181;1009;117;1018;591;6,3;73;0,7024
2015-01-19;13:00:00;0,3;965;-200;4,6;742;193;889;110;1099;661;8,6;63,3;0,7073
2015-01-19;14:00:00;0,6;1009;-200;6,7;845;263;771;128;1132;856;10;55;0,6753
2015-01-19;15:00:00;0,2;918;-200;4,3;729;176;904;114;1014;639;9,4;53,6;0,6333
2015-01-19;16:00:00;0,2;920;-200;4,3;729;168;891;110;1013;647;9,2;55;0,6402
2015-01-19;17:00:00;0,7;923;-200;4,1;715;170;915;112;1015;646;8,7;55,1;0,6228
2015-01-19;18:00:00;1,8;1021;-200;7,6;883;234;766;130;1139;846;8,9;54,4;0,62
