"Date","Monthly_number_of_unemployed_persons_in_Australia. Feb 1978 ? Aug 1995. Compare DOLE.DAT"
"1978-02",428800
"1978-03",424800
"1978-04",403400
"1978-05",398400
"1978-06",393500
"1978-07",380500
"1978-08",398300
"1978-09",387300
"1978-10",370400
"1978-11",372800
"1978-12",444600
"1979-01",449900
"1979-02",458100
"1979-03",424800
"1979-04",420600
"1979-05",400100
"1979-06",393000
"1979-07",387100
"1979-08",377500
"1979-09",400400
"1979-10",391400
"1979-11",363600
"1979-12",431000
"1980-01",441700
"1980-02",448500
"1980-03",415600
"1980-04",408000
"1980-05",416600
"1980-06",409300
"1980-07",387600
"1984-03",699900
"1984-04",675600
"1984-05",635600
"1984-06",632500
"1984-07",594900
"1984-08",604000
"1984-09",620800
"1985-02",674100
"1985-03",672800
"1985-04",615300
"1985-05",609100
"1985-06",607600
"1985-07",566900
"1985-08",572700
"1985-09",589200
"1985-10",534800
"1985-11",543100
"1985-12",591100
"1986-01",624800
"1986-02",665300
"1986-03",642600
"1986-04",608700
"1986-05",594500
"1986-06",563800
"1986-07",596100
"1986-08",597600
"1986-09",633100
"1986-10",591000
"1986-11",584200
"1986-12",655800
"1987-01",670700
"1987-02",699700
"1987-03",712900
"1987-04",652000
"1987-05",635100
"1987-06",603100
"1987-07",610100
"1987-08",602000
"1987-09",597600
"1987-10",585400
"1987-11",567100
"1987-12",620600
"1988-01",646200
"1988-02",644800
"1988-03",645200
"1988-04",644800
"1988-05",593000
"1988-06",569100
"1988-07",518800
"1988-08",538700
"1988-09",554600
"1988-10",507900
"1988-11",488400
"1988-12",563300
"1989-01",592400
"1989-02",598100
"1989-03",546300
"1989-04",516100
"1989-05",518500
"1989-06",477400
"1989-07",483400
"1989-08",469400
"1989-09",501300
"1989-10",457400
"1989-11",446700
"1989-12",501900
"1990-01",550400
"1990-02",593700
"1990-03",548900
"1990-04",534200
"1990-05",550500
"1990-06",541800
"1990-07",569300
"1990-08",587400
"1990-09",627700
"1990-10",607000
"1990-11",629500
"1990-12",704600
"1991-01",767700
"1991-02",812200
"1991-03",824600
"1991-04",856300
"1991-05",812200
"1991-06",764100
"1991-07",801700
"1991-08",806000
"1991-09",867200
"1991-10",801600
"1991-11",817500
"1991-12",920900
"1992-01",959700
"1992-02",997700
"1992-03",949100
"1992-04",910900
"1992-05",920400
"1992-06",914200
"1992-07",926300
"1992-08",906400
"1992-09",926100
"1992-10",902500
"1992-11",895300
"1992-12",979900
"1993-01",1009700
"1994-09",830800
"1994-10",753300
"1994-11",764100
"1994-12",807600
"1995-01",853700
"1995-02",886200
"1995-03",815700
"1995-04",743000
"1995-05",753600
"1995-06",724800
"1995-07",709600
"1995-08",721900
